full_date,date,weekday,time,mood,activities,note_title,note
2023-04-11,April 11,Tuesday,08:44,good,"cardio | chest triceps","","- gym<br>- laundry<br>- mom chat<br>- downtown stuff, maybe lunch with mom<br>- taxes"
2023-04-10,April 10,Monday,21:00,good,"gaming | relax","","- decompress<br>- tidy up cables in media center and couch area<br>- call with coworker for new role and feedback from first round<br>- review and sign contract<br>- deflate air mattress<br>- refill pillow with new fluff"
